23712	2
12313	-2612.594129	-28079.50645
12314	-2681.217892	-28087.80304
12316	-3068.052715	-28191.00739
12317	-3080.211688	-28210.987310000004
12319	-1905.075055	-28211.223410000002
12320	-1898.5161239999998	-28218.26215
12322	-1894.145386	-28214.86914
12323	-1901.572848	-28207.72559
12325	-3591.288732	-28242.81457
12326	-3598.763485	-28250.451910000003
12328	-3578.8119439999996	-28225.27348
12330	-3549.530864	-27940.50439
12331	-3511.3919450000003	-27939.415289999997
12333	-3550.975619	-27928.99268
12335	-3548.884974	-28025.564110000003
12336	-3549.6587200000004	-28079.070669999997
12338	-3548.817455	-28025.50769
12340	-3508.625925	-28026.16338
12342	-3681.6238700000004	-28023.957810000004
12343	-3683.424287	-28138.841889999996
12345	-3681.60656	-28023.944260000004
12347	-3645.861338	-28024.404939999997
12349	-3910.2814759999997	-28321.1799
12350	-3911.560248	-28321.956769999997
12352	-3874.62541	-28310.55664
12354	-3652.3750189999996	-28328.1853
12355	-3646.3032909999997	-28319.33728
12357	-3654.365404	-28337.79995
12359	-3577.2770170000003	-28643.311960000003
12360	-3577.6504159999995	-28643.3092
12362	-3465.0829240000003	-28697.722060000004
12364	-3819.981878	-28575.577360000003
12365	-3817.773605	-28574.54284
12367	-3520.6343229999998	-28569.70903
12369	-3372.9842009999998	-28652.44781
12371	-3521.8350259999997	-28567.92152
12372	-3657.589669	-28455.127610000003
12374	-3516.1709539999997	-28558.065710000003
12376	-3901.8900320000002	-28452.57986
12377	-3899.366494	-28444.96182
12379	-3840.451029	-28439.43041
12380	-3853.446865	-28444.765069999998
12382	-3859.556735	-28430.914119999998
12384	-3908.174158	-28441.87604
12386	-3589.619303	-28381.862080000003
12387	-3610.3320590000003	-28365.91309
12389	-3569.104893	-28397.864569999998
12391	-3946.8058549999996	-28367.74325
12392	-3943.90359	-28368.831680000003
12394	-3927.7027590000002	-28362.05155
12396	-3893.153792	-28349.4857
12398	-3676.033021	-28353.95835
12399	-3702.326123	-28365.86935
12401	-3669.046388	-28358.611119999998
12403	-3959.190232	-28339.711939999997
12404	-3987.61739	-28276.97043
12406	-3960.3225829999997	-28342.8281
12408	-3721.179718	-28345.153239999996
12409	-3712.443929	-28341.713630000002
12411	-3935.0272090000003	-28329.747180000002
12413	-3945.2577109999997	-28304.554369999998
12415	-3601.8168570000003	-28307.40378
12416	-3622.982682	-28293.31981
12418	-3580.461886	-28321.99195
12420	-3534.886972	-28298.18492
12421	-3534.433563	-28299.918939999996
12423	-3558.928814	-28336.21243
12425	-3819.3104409999996	-28302.839630000002
12426	-3836.445754	-28305.47333
12428	-3818.9700119999998	-28243.74648
12430	-3836.367268	-28287.5104
12432	-3801.8160729999995	-28265.14355
12433	-3787.579178	-28265.32697
12435	-3953.6227200000003	-28269.449119999997
12436	-3953.942337	-28284.10176
12438	-3942.8873329999997	-28269.49859
12440	-3693.742989	-28257.57585
12441	-3684.7377619999997	-28257.690389999996
12443	-3693.9862780000003	-28257.15583
12445	-3571.865752	-28259.94474
12446	-3571.6039549999996	-28261.69252
12448	-3533.053682	-28240.83478
12449	-3538.909557	-28237.40227
12451	-3538.5931200000005	-28250.98302
12453	-3818.520495	-28217.483930000002
12454	-3818.620449	-28217.59173
12456	-3850.367099	-28217.1067
12458	-3817.9699149999997	-28160.583339999997
12460	-3953.1221219999998	-28200.18073
12461	-3952.2417200000004	-28135.9233
12463	-3941.5814200000004	-28200.262489999997
12465	-3866.486883	-28191.88898
12466	-3866.4226719999997	-28191.64485
12468	-3850.096089	-28191.72017
12470	-3647.672165	-28139.378360000002
12472	-3647.560651	-28139.47702
12474	-3648.072802	-28190.045319999997
12476	-3610.9619310000003	-28140.004
12477	-3610.814019	-28139.862660000003
12479	-3569.849157	-28139.771419999997
12481	-3610.831114	-28179.79003
12483	-3894.6409909999998	-28120.85577
12484	-3883.713925	-28120.89686
12486	-3792.9240670000004	-28085.7102
12487	-3785.18476	-28085.75479
12489	-3924.0945439999996	-28025.732289999996
12490	-3952.429886	-28046.97627
12492	-3922.3292880000004	-28025.7333
12494	-3920.451356	-28025.8934
12496	-3609.267818	-28024.904860000002
12497	-3608.922694	-28024.55281
12499	-3568.5270689999998	-28025.2283
12501	-3610.7231070000003	-28124.254610000004
12503	-3918.66625	-28018.05863
12504	-3917.534565	-28017.20975
12506	-3919.8000520000005	-28018.904660000004
12508	-3690.9534799999997	-27996.15418
12509	-3681.600389	-27996.2448
12511	-3686.4389549999996	-27973.91682
12512	-3681.449065	-27973.958880000002
12514	-3584.373277	-27974.91797
12515	-3577.060725	-27974.92681
12517	-3609.2564759999996	-27939.77799
12518	-3608.440484	-27930.84145
12521	-3664.73976	-27926.7969
12522	-3647.029739	-27923.238680000002
12524	-3665.767761	-27923.97482
12526	-3666.6068130000003	-27914.340060000002
12528	-3736.048111	-27925.4692
12529	-3706.647439	-27866.659439999996
12531	-3736.439275	-27924.94014
12533	-3562.666339	-27847.71044
12534	-3588.078694	-27847.528580000002
12536	-3515.659277	-27848.05215
12538	-3639.2226939999996	-28616.3637
12540	-3583.2650020000005	-28648.155810000004
12542	-3636.522409	-28613.98149
12544	-3785.358014	-28525.03405
12547	-3807.7372969999997	-28553.80565
12549	-3817.5092990000003	-28577.737380000002
12553	-3517.467854	-28553.647060000003
12555	-3786.1837990000004	-28518.996260000004
12556	-3764.397583	-28481.63505
12558	-3802.4470549999996	-28483.76898
12561	-3797.426376	-28405.160669999997
12563	-3742.642998	-28444.12611
12565	-3829.6898100000003	-28418.252930000002
12567	-3815.992194	-28489.2291
12569	-3816.17998	-28489.73404
12571	-3816.610028	-28488.7727
12573	-3695.317808	-28430.098469999997
12575	-3889.740926	-28441.030839999996
12578	-3765.5764090000002	-28391.9121
12580	-3720.6035899999997	-28413.022339999996
12582	-3658.1422770000004	-28445.005119999998
12584	-3699.593341	-28431.67783
12586	-3701.3516170000003	-28423.20693
12589	-3859.532503	-28430.85022
12593	-3889.226625	-28435.5891
12595	-3829.6181810000003	-28418.112380000002
12596	-3861.707621	-28338.83811
12599	-3797.4448520000005	-28405.15367
12602	-3733.4890200000004	-28378.736810000002
12604	-3687.6087310000003	-28396.640789999998
12606	-3551.0129850000003	-28411.601089999996
12607	-3468.171325	-28472.053439999996
12609	-3548.133295	-28409.7975
12612	-3537.0881560000003	-28350.53832
12614	-3669.0430770000003	-28358.677710000004
12617	-3765.638334	-28391.884739999998
12620	-3733.736336	-28378.6403
12622	-3827.0938380000002	-28330.77492
12624	-3790.795007	-28327.63812
12627	-3702.502902	-28365.81557
12629	-3559.3235229999996	-28336.1577
12631	-3520.342603	-28361.68718
12633	-3519.571389	-28366.40618
12635	-3580.269746	-28322.36492
12639	-3752.111975	-28330.364830000002
12641	-3943.904482	-28368.834960000004
12642	-3945.5667840000006	-28371.742660000004
12645	-3928.417667	-28359.39645
12650	-3711.834782	-28338.19903
12652	-3661.197481	-28356.36999
12654	-3537.3020380000003	-28350.17429
12657	-3515.636051	-28360.49375
12659	-3514.9628700000003	-28316.253210000003
12663	-3659.7699299999995	-28339.78438
12671	-3684.8173810000003	-28324.276910000004
12672	-3720.289585	-28314.960769999998
12677	-3538.836453	-28251.1056
12679	-3648.9462350000003	-28281.600469999998
12682	-3718.296847	-28218.688580000002
12684	-3755.766198	-28306.48541
12686	-3788.051753	-28303.16812
12688	-3851.1437149999997	-28306.297339999997
12691	-3880.404248	-28277.81131
12693	-3919.535222	-28294.8389
12695	-3913.619382	-28319.937339999997
12698	-3934.6116880000004	-28300.25686
12700	-3918.673771	-28216.083510000004
12702	-3919.668314	-28294.85327
12704	-3850.5089659999994	-28217.23405
12708	-3755.0063020000002	-28218.345510000003
12711	-3532.645778	-28299.57905
12714	-3640.249522	-28281.71427
12716	-3647.930436	-28248.2572
12718	-3892.217839	-28277.877819999998
12720	-3892.598225	-28278.37068
12722	-3954.005524	-28284.10937
12724	-3987.606732	-28215.79333
12726	-4006.864849	-28215.69543
12728	-3953.092366	-28215.747139999996
12730	-3942.5170810000004	-28269.92943
12732	-3942.55765	-28263.04457
12734	-3892.5659939999996	-28277.378739999996
12736	-3883.710147	-28255.89711
12738	-3786.9919200000004	-28217.867769999997
12740	-3501.580576	-28270.08838
12744	-3569.9229490000002	-28261.26617
12747	-3684.2984439999996	-28219.040360000003
12749	-3693.9882420000004	-28257.97715
12751	-3884.849877	-28216.84516
12753	-3893.295564	-28255.723619999997
12755	-3893.3429090000004	-28255.479710000003
12757	-3893.7955859999997	-28256.037760000003
12759	-3942.205997	-28262.83745
12761	-3942.96323	-28262.79985
12764	-3806.364126	-28243.92075
12766	-3648.058901	-28219.410630000002
12768	-3590.051414	-28247.340519999998
12770	-3531.3515490000004	-28238.3315
12771	-3525.292338	-28222.30737
12773	-3506.4629950000003	-28251.25192
12776	-3539.0896700000003	-28236.130039999996
12778	-3540.0036210000003	-28237.98555
12780	-3521.543721	-28216.46198
12782	-3560.322881	-28199.38222
12784	-3579.427472	-28222.495539999996
12787	-3612.019707	-28218.6885
12790	-3648.3593170000004	-28219.14705
12791	-3684.2000740000003	-28218.961730000003
12795	-3718.2228299999997	-28218.629210000003
12797	-3754.9917020000003	-28218.32885
12801	-3786.9298630000003	-28217.81337
12806	-3884.677478	-28216.70294
12808	-3918.7171380000004	-28216.0526
12809	-3953.0735259999997	-28215.73035
12812	-4005.765339	-28215.740560000002
12815	-4015.106689	-28143.649639999996
12817	-4005.902895	-28219.27987
12819	-3987.0431	-28215.305780000002
12820	-3987.1265689999996	-28199.81193
12824	-3953.140785	-28200.23143
12827	-3918.2186020000004	-28136.498139999996
