12661	2
12313	-2612.594129	-28079.50645
12314	-2681.217892	-28087.80304
12316	-3068.052715	-28191.00739
12317	-3080.211688	-28210.98731
12330	-3549.530864	-27940.50439
12331	-3511.391945	-27939.41529
12333	-3550.975619	-27928.99268
12335	-3548.884974	-28025.56411
12336	-3549.65872	-28079.07067
12338	-3548.817455	-28025.50769
12340	-3508.625925	-28026.16338
12496	-3609.267818	-28024.90486
12497	-3608.922694	-28024.55281
12499	-3568.527069	-28025.2283
12514	-3584.373277	-27974.91797
12515	-3577.060725	-27974.92681
12517	-3609.256476	-27939.77799
12518	-3608.440484	-27930.84145
12521	-3664.73976	-27926.7969
12522	-3647.029739	-27923.23868
12524	-3665.767761	-27923.97482
12526	-3666.606813	-27914.34006
12533	-3562.666339	-27847.71044
12534	-3588.078694	-27847.52858
12536	-3515.659277	-27848.05215
12846	-3490.517932	-28166.33782
12886	-3501.708679	-28139.3391
12984	-3505.02651	-28079.16908
13041	-3568.298753	-28025.05891
13045	-3569.344113	-27974.80642
13050	-3644.797703	-27939.07039
13142	-3577.260732	-27975.57872
13144	-3577.018597	-27974.88432
13147	-3570.393326	-27930.18485
13149	-3577.180061	-27974.29614
13186	-3645.127159	-27920.23273
13188	-3638.989228	-27923.16073
13190	-3654.262348	-27864.64213
13193	-3610.635658	-27928.61745
13196	-3549.516462	-27926.89103
13198	-3668.269086	-27867.68208
13200	-3671.297052	-27910.87903
13225	-3655.023736	-27850.65193
13227	-3670.43753	-27865.91161
13229	-3599.54507	-27847.59115
13230	-3626.402972	-27848.74587
13234	-3623.358235	-27852.71234
13236	-3660.018582	-27771.1083
13242	-3600.906848	-27785.07293
13244	-3588.085382	-27785.7034
13246	-3562.835857	-27786.04225
13248	-3516.030423	-27832.34264
13249	-3517.291862	-27799.43632
13251	-3515.664088	-27840.41309
13253	-2484.244358	-27896.17197
13254	-2495.581325	-27937.86169
13256	-2483.510409	-27893.95738
13258	-2482.444297	-28241.4196
13259	-2482.340766	-28241.95904
13261	-2489.518788	-28240.87971
13283	-2554.035811	-28249.78748
13284	-2584.292897	-28247.19904
13286	-2553.555186	-28248.14965
13288	-3160.503337	-28160.94678
13289	-3150.792616	-28125.23998
13291	-3191.376479	-28158.20474
13293	-2741.460624	-28155.65859
13294	-2754.340204	-28157.41187
13296	-2740.863266	-28158.12337
13310	-3253.507142	-27980.24301
13311	-3241.568628	-27978.80969
13318	-3132.880827	-27898.33254
13319	-3090.42829	-27907.67384
13321	-3118.786029	-27859.69941
13328	-2545.363098	-27944.79238
13329	-2538.328495	-27919.63121
13331	-2551.810714	-27972.22421
13333	-2982.226534	-27939.94291
13334	-2983.292542	-27952.03975
13336	-2979.148832	-27912.73379
13338	-3100.641388	-27944.7971
13340	-3141.124289	-27944.13483
13342	-3289.192094	-27937.06554
13343	-3272.322767	-27936.31538
13345	-3305.516657	-27939.36042
13347	-3508.420654	-27993.75087
13349	-3512.742421	-27865.41643
13364	-3378.178845	-28026.59407
13365	-3374.07757	-28039.44045
13367	-3379.300722	-27999.32549
13369	-3505.409615	-28066.09076
13372	-2529.692374	-28067.42603
13373	-2531.48249	-28076.34657
13399	-2987.523906	-28105.74195
13400	-2986.754553	-28121.17961
13402	-2958.589456	-28104.01048
13421	-3168.969441	-28192.42834
13422	-3175.205593	-28214.28204
13424	-3146.444602	-28218.4166
13426	-2958.582208	-28241.43001
13427	-2962.375728	-28251.23791
13429	-2955.479074	-28234.64756
13431	-2785.266424	-28246.19367
13432	-2807.976535	-28246.90307
13434	-2394.629757	-28239.84278
13435	-2425.058469	-28242.06885
13437	-2392.739598	-28260.39405
13454	-3248.993608	-28291.25693
13455	-3236.378837	-28295.73592
13457	-3248.961727	-28291.12613
13464	-3134.064028	-28337.33262
13465	-3113.246655	-28342.08368
13467	-3134.269973	-28336.73445
13469	-2786.118435	-28331.50598
13470	-2770.897078	-28330.75317
13472	-2786.260545	-28331.01085
13504	-2859.939483	-28464.71032
13505	-2841.257317	-28468.12448
13507	-2855.773459	-28441.04452
14005	-2583.61462	-28486.21966
14006	-2566.465563	-28483.9561
14008	-2596.048015	-28485.0337
14010	-2605.501511	-28484.77356
14012	-2594.461418	-28458.71276
14014	-2627.891522	-28482.89729
14015	-2607.153667	-28484.64212
14017	-2625.651915	-28428.9666
14020	-2905.744094	-28455.9874
14041	-2670.804416	-28459.89274
14042	-2663.463553	-28453.81849
14044	-2679.128412	-28450.2266
14046	-2564.772705	-28458.69556
14047	-2559.995836	-28406.36351
14050	-2448.706227	-28475.9265
14051	-2381.035514	-28456.719
14053	-2454.724064	-28476.7968
14079	-2641.123988	-28438.88507
14080	-2654.290792	-28438.79029
14082	-3036.610307	-28425.98545
14083	-3105.780783	-28407.55859
14087	-2633.250029	-28429.09063
14103	-2626.93649	-28415.21253
14104	-2625.375495	-28425.71999
14106	-2626.267638	-28407.1376
14108	-3057.637061	-28396.73758
14109	-3055.485507	-28395.64464
14111	-2559.609981	-28400.10569
14112	-2559.923817	-28406.20495
14114	-2559.556122	-28400.10966
14116	-2519.186624	-28404.08155
14117	-2516.738863	-28405.38607
14119	-2519.256553	-28402.7808
14161	-2387.161362	-28385.75163
14162	-2388.060899	-28387.24748
14166	-2625.893031	-28391.16492
14167	-2626.316779	-28391.97198
14169	-2639.887408	-28391.14745
14171	-2773.506351	-28386.99202
14172	-2772.689614	-28418.86612
14174	-2775.780663	-28373.44809
14176	-3185.699848	-28374.22816
14179	-3165.102428	-28383.56377
14181	-3211.723791	-28367.28651
14219	-2385.811838	-28352.72596
14221	-2527.881112	-28360.77615
14222	-2502.882104	-28362.15541
14224	-2529.281053	-28359.76161
14226	-2528.906636	-28275.66255
14228	-2554.990419	-28358.14801
14230	-2554.813542	-28321.82784
14232	-2626.180824	-28353.55943
14233	-2650.621956	-28352.34128
14235	-2615.621952	-28354.52098
14237	-2907.702579	-28356.59025
14238	-2907.883828	-28355.9783
14240	-2907.627676	-28355.72083
14242	-3213.355295	-28361.15024
14244	-3179.272525	-28331.70281
14246	-3216.114189	-28355.5084
14247	-3260.903633	-28331.6206
14258	-2971.202094	-28335.39665
14259	-2994.766656	-28325.58566
14261	-2742.1314	-28344.13319
14262	-2738.600202	-28344.81483
14264	-2746.950115	-28320.15806
14286	-2641.236145	-28322.50423
14287	-2640.313498	-28321.43664
14289	-2614.440824	-28323.06767
14291	-3100.209672	-28311.31363
14292	-3110.406464	-28307.62151
14294	-3100.010361	-28311.65662
14296	-3078.858631	-28321.04178
14298	-2844.481225	-28315.90825
14299	-2855.659108	-28315.78575
14346	-2613.157593	-28300.43589
14348	-2599.891777	-28298.85556
14350	-2814.829849	-28303.52128
14351	-2837.673493	-28302.23933
14353	-2806.916082	-28302.33316
14355	-3041.601658	-28298.0915
14356	-3050.15187	-28317.31318
14358	-3065.466493	-28287.74452
14361	-3378.181759	-28262.15169
14365	-2829.720106	-28284.73789
14366	-2829.422659	-28284.24206
14368	-2821.260447	-28284.31262
14412	-2391.395932	-28270.51695
14413	-2390.98761	-28279.82272
14415	-2392.316342	-28261.2891
14417	-2899.99353	-28265.83636
14418	-2901.145031	-28264.38022
14420	-3030.24483	-28270.92066
14421	-3041.521718	-28298.04517
14423	-2980.655978	-28292.78606
14425	-3278.366052	-28277.24554
14426	-3261.284374	-28285.67518
14428	-3279.031118	-28275.51338
14435	-3380.258974	-28260.05992
14436	-3361.68666	-28217.37407
14438	-3339.7238	-28284.73054
14441	-3257.440365	-28257.78552
14442	-3254.697359	-28246.57498
14444	-3257.947872	-28257.95333
14446	-3188.544533	-28261.66946
14447	-3176.441274	-28218.1503
14449	-3222.647124	-28252.18246
14451	-2810.12648	-28261.27991
14453	-2821.084053	-28261.92296
14455	-2650.389606	-28254.43661
14456	-2650.886915	-28255.1124
14458	-2586.065584	-28249.37575
14493	-2545.945767	-28247.40831
14494	-2546.634413	-28247.13989
14496	-2546.617265	-28246.67617
14498	-3268.325754	-28244.72279
14499	-3267.132956	-28243.6885
14501	-3474.850055	-28186.95609
14504	-3142.873448	-28220.15482
14505	-3157.453848	-28288.55926
14507	-3131.602569	-28210.38087
14509	-2953.383037	-28229.8075
14510	-2943.933415	-28206.88017
14513	-2852.452844	-28228.02748
14514	-2851.398348	-28213.78561
14516	-2853.111636	-28233.54288
14518	-2704.44604	-28226.29021
14519	-2723.519175	-28224.37432
14521	-2670.173737	-28227.43955
14522	-2698.324136	-28331.62752
14524	-2663.192637	-28271.99847
14551	-2577.264929	-28207.68432
14552	-2577.621762	-28207.12731
14554	-2592.643331	-28175.82511
14556	-2915.661217	-28209.9852
14557	-2915.316011	-28209.56854
14559	-2904.764449	-28210.49377
14561	-3029.739335	-28210.62255
14562	-3053.463908	-28209.16265
14564	-2993.096387	-28226.09139
14566	-3092.656049	-28216.23192
14569	-3209.729483	-28211.11296
14572	-3274.224179	-28214.27634
14573	-3272.534478	-28212.75694
14575	-3427.546099	-28224.99852
14576	-3411.410884	-28236.84252
14578	-3437.487383	-28217.10733
14580	-3437.544619	-28217.04558
14582	-3423.012989	-28195.23707
14584	-3401.569955	-28194.6487
14585	-3416.531544	-28185.80476
14587	-3393.344699	-28199.09619
14589	-2628.435319	-28198.44894
14590	-2628.380325	-28197.64242
14592	-2627.140062	-28196.55489
14594	-2614.547128	-28210.75015
14596	-2494.138548	-28198.31897
14597	-2508.700886	-28195.78306
14599	-2493.83792	-28198.66266
14601	-2495.873988	-28219.50276
14618	-2455.37669	-28185.25909
14619	-2456.762445	-28183.98191
14621	-2482.141527	-28184.23069
14622	-2483.683689	-28182.5275
